occupation_normalized,rank_assigned,donation_count,total_amount
ATTORNEY PROFESSOR,Full Professor,425,105616.00
SEMINARY PROFESSOR,Full Professor,420,32640.00
ASSO PROF EMERITA,Emeritus,420,4948.00
RESEARCH ASSOCIATE PROFESSOR,Associate,417,44544.00
LAWYER PROFESSOR,Full Professor,410,58090.00
PROFESSOR AND CHAIR,Full Professor,407,82145.00
PROFESSOR OF THEATRE,Full Professor,404,13747.00
EDUCATIONAL RESEARCHER,Other Faculty,404,137269.00
GRADUATE RESEARCHER,Other Faculty,401,25104.00
ADJUNCT COLLEGE INSTRUCTOR,Adjunct,396,10350.00
UNIVERSITY INSTRUCTOR O,Instructor,395,4552.00
RETIRED PROFESSOR OF SOCIAL WORK,Full Professor,391,26324.00
ACADEMIC LIBRARIAN,Other Faculty,388,16749.00
FACULTY PHYSICS,Other Faculty,388,7304.00
VISITING ASSISTANT PROFESSOR,Assistant,386,23033.00
PROFESSOR AND ASSOCIATE DEAN,Full Professor,383,35302.00
ADJUNCT TEACHER,Adjunct,383,7994.00
DISTINGUISHED PROFESSOR,Full Professor,377,57494.00
FACULTY PHYSICIAN,Other Faculty,376,46221.00
PUBLIC ARTIST PROFESSOR,Full Professor,371,5280.00
PROFESSOR OF PRACTICE,Full Professor,368,300800.00
WRITER AND PROFESSOR,Full Professor,368,20517.00
FACULTY ASSISTANT,Other Faculty,367,8954.00
RESEARCHER PROFESSOR,Full Professor,366,6993.00
RETIRED ACADEMIC,Other Faculty,362,12236.00
DIRECTOR FACULTY,Other Faculty,361,11280.00
PROFESSOR OF BUSINESS,Full Professor,360,40110.00
ART PROFESSOR,Full Professor,355,25467.00
ASSOCIATE PROFESSOR OF HISTORY,Associate,355,38363.00
RETIRED ENGLISH PROFESSOR,Full Professor,351,13905.00
PROFESSOR OF ENGINEERING,Full Professor,350,45560.00
SCIENCE FACULTY SPECIAL PROJECTS,Other Faculty,350,5198.00
POSTDOCTORAL RESEARCH ASSOCIATE,Postdoc,348,47017.00
RETIRED PROFESSOR EMERITUS,Emeritus,347,21799.00
YOGA INSTRUCTOR,Instructor,346,6353.00
PROFESSOR ARTIST,Full Professor,343,16792.00
PROFESSOR U S HISTORY,Full Professor,343,11067.00
PROFESSOR AND ADMINISTRATOR,Full Professor,338,67459.00
RESEARCH PROF,Other Faculty,336,2992.00
ADJUNCT ASSOCIATE PROFESSOR,Adjunct,331,24100.00
CLINICAL ASSISTANT PROFESSOR,Assistant,329,36025.00
UNIVERSITY RESEARCH PROFESSOR,Research Faculty,322,5197.00
POSTDOCTORAL RESEARCH FELLOW,Postdoc,312,27048.00
PROF OF BIOCHEMISTRY,Other Faculty,311,13214.00
RETIRED UNIVERSITY PROFESSOR RESEARCHE,Full Professor,311,86185.00
PHILOSOPHY PROFESSOR,Full Professor,306,30520.00
RETIRED HISTORY PROFESSOR,Full Professor,290,12245.00
PROFESSOR PSYCHOLOGIST,Full Professor,289,83861.00
ACADEMIC SUPPORT,Other Faculty,288,3542.00
LAB INSTRUCTOR,Instructor,287,17421.00
CLINICAL PROFESSOR,Full Professor,287,76487.00
PROFESSOR ADMINISTRATOR,Full Professor,285,169316.00
