university,cycle,party,donor_count,donation_count,total_amount
Brandeis University,2012,DEM,73,148,75907.00
Brandeis University,2012,REP,1,1,250.00
Brandeis University,2012,OTH,5,5,2450.00
Brandeis University,2016,DEM,85,1078,113752.00
Brandeis University,2016,REP,1,1,2700.00
Brandeis University,2016,OTH,17,101,12503.00
Brandeis University,2020,DEM,121,1623,228249.00
Brandeis University,2020,REP,1,2,5600.00
Brandeis University,2020,OTH,33,247,23401.00
Brandeis University,2024,DEM,76,471,188226.00
Brandeis University,2024,REP,3,9,8569.00
Brandeis University,2024,OTH,24,97,29108.00
Brandeis University,2026,DEM,16,74,15143.00
Brandeis University,2026,OTH,10,42,4006.00
Brigham Young University,2008,DEM,7,11,3660.00
Brigham Young University,2008,REP,20,25,19200.00
Brigham Young University,2008,OTH,3,3,850.00
Brigham Young University,2012,DEM,8,26,8700.00
Brigham Young University,2012,REP,37,62,78175.00
Brigham Young University,2012,OTH,2,2,275.00
Brigham Young University,2016,DEM,15,81,6185.00
Brigham Young University,2016,REP,10,40,50358.00
Brigham Young University,2016,OTH,5,13,2460.00
Brigham Young University,2020,DEM,26,250,24493.00
Brigham Young University,2020,REP,6,27,2090.00
Brigham Young University,2020,OTH,5,28,5235.00
Brigham Young University,2024,DEM,19,104,18167.00
Brigham Young University,2024,REP,9,18,3358.00
Brigham Young University,2024,OTH,3,8,3380.00
Brigham Young University,2026,DEM,4,8,328.00
Brigham Young University,2026,REP,2,7,3610.00
Brigham Young University,2026,OTH,1,4,55.00
Brown University,2008,DEM,59,158,65764.00
Brown University,2008,REP,1,1,1000.00
Brown University,2008,OTH,4,9,2600.00
Brown University,2012,DEM,61,148,63814.00
Brown University,2012,REP,2,2,1300.00
Brown University,2012,OTH,1,1,300.00
Brown University,2016,DEM,129,2543,177223.00
Brown University,2016,REP,6,60,1212.00
Brown University,2016,OTH,18,220,23479.00
Brown University,2020,DEM,221,3703,381876.00
Brown University,2020,REP,2,4,10000.00
Brown University,2020,OTH,63,517,32970.00
Brown University,2024,DEM,167,1829,277799.00
Brown University,2024,REP,2,10,688.00
Brown University,2024,OTH,52,414,61644.00
Brown University,2026,DEM,37,278,26857.00
Brown University,2026,OTH,22,211,18347.00
Bryn Mawr College,2008,DEM,11,38,21400.00
Bryn Mawr College,2008,OTH,2,3,700.00
Bryn Mawr College,2012,DEM,15,40,16800.00
Bryn Mawr College,2012,OTH,3,8,5700.00
Bryn Mawr College,2016,DEM,22,107,10308.00
Bryn Mawr College,2016,OTH,1,6,600.00
Bryn Mawr College,2020,DEM,23,261,13624.00
Bryn Mawr College,2020,OTH,4,34,967.00
Bryn Mawr College,2024,DEM,17,79,16613.00
Bryn Mawr College,2026,DEM,3,12,525.00
Bryn Mawr College,2026,OTH,1,2,40.00
Bucknell University,2008,DEM,6,12,4900.00
Bucknell University,2012,DEM,7,10,2350.00
Bucknell University,2012,REP,1,2,5000.00
Bucknell University,2016,DEM,21,101,6517.00
Bucknell University,2016,REP,2,2,1200.00
Bucknell University,2016,OTH,1,4,80.00
Bucknell University,2020,DEM,34,576,48221.00
Bucknell University,2020,REP,2,7,2250.00
Bucknell University,2020,OTH,5,30,7385.00
Bucknell University,2024,DEM,23,142,14085.00
Bucknell University,2024,OTH,4,68,2805.00
Bucknell University,2026,DEM,1,4,100.00
Bucknell University,2026,OTH,1,5,250.00
CUNY,2008,DEM,222,464,260730.00
CUNY,2008,REP,21,36,15370.00
CUNY,2008,OTH,31,63,42378.00
CUNY,2012,DEM,212,431,312830.00
CUNY,2012,REP,18,25,8926.00
