university,cycle,party,donor_count,donation_count,total_amount
Oklahoma State University,2026,DEM,9,168,3174.00
Oklahoma State University,2026,OTH,3,23,589.00
Old Dominion University,2008,DEM,15,22,11375.00
Old Dominion University,2008,REP,1,1,250.00
Old Dominion University,2008,OTH,1,1,500.00
Old Dominion University,2012,DEM,13,23,13430.00
Old Dominion University,2012,REP,2,2,455.00
Old Dominion University,2016,DEM,24,95,11214.00
Old Dominion University,2016,REP,4,6,1884.00
Old Dominion University,2020,DEM,47,369,52583.00
Old Dominion University,2020,REP,5,6,1600.00
Old Dominion University,2020,OTH,8,67,3703.00
Old Dominion University,2024,DEM,32,143,23470.00
Old Dominion University,2024,REP,6,8,1950.00
Old Dominion University,2024,OTH,4,21,2342.00
Old Dominion University,2026,DEM,6,25,4789.00
Old Dominion University,2026,OTH,3,26,404.00
Oregon State University,2008,DEM,37,75,44025.00
Oregon State University,2008,REP,8,12,5715.00
Oregon State University,2008,OTH,5,5,1600.00
Oregon State University,2012,DEM,36,75,37383.00
Oregon State University,2012,REP,3,4,1320.00
Oregon State University,2016,DEM,62,827,58980.00
Oregon State University,2016,REP,1,2,300.00
Oregon State University,2016,OTH,7,23,2299.00
Oregon State University,2020,DEM,150,1829,206763.00
Oregon State University,2020,REP,5,80,19947.00
Oregon State University,2020,OTH,31,195,27284.00
Oregon State University,2024,DEM,98,813,152432.00
Oregon State University,2024,REP,3,11,4040.00
Oregon State University,2024,OTH,21,85,16468.00
Oregon State University,2026,DEM,27,175,14597.00
Oregon State University,2026,REP,1,1,104.00
Oregon State University,2026,OTH,10,42,3105.00
Other higher-ed (not in top 150),2008,DEM,7853,14086,6716534.00
Other higher-ed (not in top 150),2008,REP,1103,1590,942854.00
Other higher-ed (not in top 150),2008,OTH,785,1324,622528.00
Other higher-ed (not in top 150),2012,DEM,7143,13724,6499462.00
Other higher-ed (not in top 150),2012,REP,1081,1612,1023976.00
Other higher-ed (not in top 150),2012,OTH,820,1302,912756.00
Other higher-ed (not in top 150),2016,DEM,13828,138266,10044338.00
Other higher-ed (not in top 150),2016,REP,1335,4008,821567.00
Other higher-ed (not in top 150),2016,OTH,1652,9929,974377.00
Other higher-ed (not in top 150),2020,DEM,22140,287923,25738960.00
Other higher-ed (not in top 150),2020,REP,2089,12827,1825588.00
Other higher-ed (not in top 150),2020,OTH,4459,33999,3673113.00
Other higher-ed (not in top 150),2024,DEM,14449,142673,16249212.00
Other higher-ed (not in top 150),2024,REP,1477,10592,1103635.00
Other higher-ed (not in top 150),2024,OTH,3510,30738,2886692.00
Other higher-ed (not in top 150),2026,DEM,3125,25236,2597669.00
Other higher-ed (not in top 150),2026,REP,337,2757,207464.00
Other higher-ed (not in top 150),2026,OTH,1590,15228,1028253.00
Penn State University,2008,DEM,131,270,118974.00
Penn State University,2008,REP,15,20,9935.00
Penn State University,2008,OTH,9,15,8950.00
Penn State University,2012,DEM,119,337,116600.00
Penn State University,2012,REP,10,11,6200.00
Penn State University,2012,OTH,6,8,2100.00
Penn State University,2016,DEM,207,1667,170885.00
Penn State University,2016,REP,27,157,9883.00
Penn State University,2016,OTH,17,84,9245.00
Penn State University,2020,DEM,291,3788,345693.00
Penn State University,2020,REP,20,83,19765.00
Penn State University,2020,OTH,42,251,35004.00
Penn State University,2024,DEM,230,4568,249964.00
Penn State University,2024,REP,7,32,8811.00
Penn State University,2024,OTH,34,1243,26758.00
Penn State University,2026,DEM,31,136,11618.00
Penn State University,2026,REP,3,9,2650.00
Penn State University,2026,OTH,16,83,5332.00
Pepperdine University,2008,DEM,10,12,6100.00
Pepperdine University,2008,REP,8,15,7600.00
Pepperdine University,2008,OTH,2,2,450.00
Pepperdine University,2012,DEM,9,12,6700.00
Pepperdine University,2012,REP,4,6,7250.00
Pepperdine University,2012,OTH,2,2,508.00
Pepperdine University,2016,DEM,11,78,6953.00
Pepperdine University,2016,REP,4,12,2530.00
Pepperdine University,2016,OTH,2,4,648.00
Pepperdine University,2020,DEM,31,237,41102.00
Pepperdine University,2020,REP,9,22,3322.00
Pepperdine University,2020,OTH,7,16,1845.00
Pepperdine University,2024,DEM,18,33,17948.00
Pepperdine University,2024,REP,4,14,6949.00
Pepperdine University,2024,OTH,9,22,6561.00
Pepperdine University,2026,DEM,2,5,2900.00
Pepperdine University,2026,OTH,1,2,200.00
Princeton University,2008,DEM,196,492,243797.00
Princeton University,2008,REP,15,24,23925.00
Princeton University,2008,OTH,13,23,7300.00
Princeton University,2012,DEM,182,524,261894.00
Princeton University,2012,REP,2,3,2000.00
Princeton University,2012,OTH,24,47,23650.00
Princeton University,2016,DEM,200,1911,349632.00
Princeton University,2016,REP,4,6,7000.00
Princeton University,2016,OTH,29,151,39860.00
Princeton University,2020,DEM,313,5349,942082.00
Princeton University,2020,REP,5,34,9120.00
Princeton University,2020,OTH,65,410,86398.00
Princeton University,2024,DEM,202,2175,490303.00
Princeton University,2024,REP,3,9,1744.00
Princeton University,2024,OTH,49,530,62602.00
Princeton University,2026,DEM,62,395,120778.00
Princeton University,2026,OTH,15,244,16051.00
Purdue University,2008,DEM,76,150,70525.00
Purdue University,2008,REP,9,11,3870.00
Purdue University,2008,OTH,9,13,4150.00
Purdue University,2012,DEM,65,119,53429.00
Purdue University,2012,REP,17,23,23650.00
Purdue University,2012,OTH,6,7,2050.00
Purdue University,2016,DEM,134,924,102838.00
Purdue University,2016,REP,8,20,8100.00
Purdue University,2016,OTH,17,95,8314.00
Purdue University,2020,DEM,209,2268,245762.00
Purdue University,2020,REP,17,285,35224.00
Purdue University,2020,OTH,44,237,37030.00
Purdue University,2024,DEM,124,1031,173838.00
Purdue University,2024,REP,18,757,46549.00
Purdue University,2024,OTH,36,463,46123.00
Purdue University,2026,DEM,33,204,59393.00
Purdue University,2026,REP,5,222,28162.00
Purdue University,2026,OTH,18,72,7242.00
Reed College,2008,DEM,13,26,8300.00
Reed College,2008,OTH,5,12,3650.00
Reed College,2012,DEM,8,23,7375.00
Reed College,2012,OTH,4,8,5250.00
Reed College,2016,DEM,13,40,6415.00
Reed College,2016,REP,1,2,350.00
Reed College,2016,OTH,3,6,237.00
Reed College,2020,DEM,29,316,42464.00
Reed College,2020,OTH,7,40,2903.00
Reed College,2024,DEM,22,156,20788.00
Reed College,2024,OTH,3,17,746.00
Reed College,2026,DEM,4,23,699.00
Reed College,2026,OTH,1,14,266.00
Rensselaer Polytechnic,2008,DEM,10,18,7950.00
Rensselaer Polytechnic,2008,REP,1,2,1050.00
Rensselaer Polytechnic,2008,OTH,2,4,1000.00
Rensselaer Polytechnic,2012,DEM,11,46,14370.00
Rensselaer Polytechnic,2012,REP,1,2,500.00
Rensselaer Polytechnic,2012,OTH,2,3,1000.00
Rensselaer Polytechnic,2016,DEM,22,207,26545.00
Rensselaer Polytechnic,2016,REP,2,2,390.00
Rensselaer Polytechnic,2016,OTH,2,2,2000.00
Rensselaer Polytechnic,2020,DEM,34,484,91508.00
Rensselaer Polytechnic,2020,REP,2,6,900.00
Rensselaer Polytechnic,2020,OTH,10,44,4690.00
Rensselaer Polytechnic,2024,DEM,23,229,29599.00
Rensselaer Polytechnic,2024,REP,1,6,289.00
Rensselaer Polytechnic,2024,OTH,4,33,1047.00
Rensselaer Polytechnic,2026,DEM,10,28,2386.00
Rensselaer Polytechnic,2026,OTH,1,6,150.00
Rice University,2008,DEM,52,117,57206.00
Rice University,2008,REP,4,4,1300.00
Rice University,2008,OTH,5,11,17400.00
Rice University,2012,DEM,47,104,44658.00
Rice University,2012,REP,1,2,1500.00
Rice University,2012,OTH,8,19,20400.00
Rice University,2016,DEM,69,781,162206.00
Rice University,2016,REP,5,9,7000.00
Rice University,2016,OTH,11,47,20755.00
Rice University,2020,DEM,120,2187,642610.00
Rice University,2020,REP,4,11,8750.00
Rice University,2020,OTH,33,169,104244.00
Rice University,2024,DEM,73,975,367083.00
Rice University,2024,REP,4,6,1110.00
Rice University,2024,OTH,28,220,62459.00
Rice University,2026,DEM,21,93,49209.00
Rice University,2026,OTH,18,70,40003.00
Rochester Institute of Technology,2008,DEM,17,29,10014.00
Rochester Institute of Technology,2008,REP,2,3,1000.00
Rochester Institute of Technology,2012,DEM,10,13,8137.00
Rochester Institute of Technology,2012,REP,1,1,201.00
Rochester Institute of Technology,2016,DEM,39,249,28827.00
Rochester Institute of Technology,2016,REP,3,13,95.00
Rochester Institute of Technology,2016,OTH,1,1,200.00
Rochester Institute of Technology,2020,DEM,61,820,77774.00
Rochester Institute of Technology,2020,REP,2,9,817.00
Rochester Institute of Technology,2020,OTH,5,14,938.00
Rochester Institute of Technology,2024,DEM,43,395,46995.00
Rochester Institute of Technology,2024,OTH,8,38,4463.00
Rochester Institute of Technology,2026,DEM,9,39,4425.00
Rochester Institute of Technology,2026,OTH,2,13,1060.00
Rutgers University,2008,DEM,209,412,220290.00
Rutgers University,2008,REP,11,13,5800.00
Rutgers University,2008,OTH,22,26,8400.00
Rutgers University,2012,DEM,215,451,197355.00
Rutgers University,2012,REP,2,6,1475.00
Rutgers University,2012,OTH,26,31,16060.00
Rutgers University,2016,DEM,340,4977,396372.00
Rutgers University,2016,REP,11,17,2561.00
Rutgers University,2016,OTH,52,601,38582.00
Rutgers University,2020,DEM,547,7868,1076125.00
Rutgers University,2020,REP,11,54,8148.00
Rutgers University,2020,OTH,155,2852,81022.00
Rutgers University,2024,DEM,349,3394,458030.00
Rutgers University,2024,REP,13,53,20212.00
Rutgers University,2024,OTH,94,691,81844.00
Rutgers University,2026,DEM,82,560,96009.00
Rutgers University,2026,REP,3,8,3976.00
Rutgers University,2026,OTH,47,371,36905.00
SUNY,2008,DEM,158,303,160301.00
SUNY,2008,REP,18,27,23850.00
SUNY,2008,OTH,16,32,26208.00
SUNY,2012,DEM,144,271,178405.00
SUNY,2012,REP,16,23,11800.00
SUNY,2012,OTH,10,37,22462.00
SUNY,2016,DEM,323,3525,300855.00
SUNY,2016,REP,17,80,18175.00
SUNY,2016,OTH,41,224,28172.00
SUNY,2020,DEM,612,8291,2440765.00
SUNY,2020,REP,43,263,48554.00
SUNY,2020,OTH,127,814,156758.00
SUNY,2024,DEM,397,4469,413297.00
SUNY,2024,REP,26,245,19488.00
SUNY,2024,OTH,112,966,155893.00
SUNY,2026,DEM,100,946,65683.00
SUNY,2026,REP,6,58,1896.00
SUNY,2026,OTH,47,408,16122.00
Saint Louis University,2008,DEM,19,27,11471.00
Saint Louis University,2008,REP,4,8,4249.00
Saint Louis University,2012,DEM,23,31,19081.00
Saint Louis University,2012,REP,2,6,1614.00
Saint Louis University,2016,DEM,33,251,53544.00
Saint Louis University,2016,REP,2,5,423.00
Saint Louis University,2016,OTH,2,3,950.00
Saint Louis University,2020,DEM,42,367,50655.00
Saint Louis University,2020,REP,3,5,4500.00
Saint Louis University,2020,OTH,7,43,7830.00
Saint Louis University,2024,DEM,30,182,37139.00
Saint Louis University,2024,REP,1,6,524.00
Saint Louis University,2024,OTH,10,28,3247.00
Saint Louis University,2026,DEM,7,35,5298.00
Saint Louis University,2026,OTH,2,8,1833.00
Santa Clara University,2008,DEM,31,51,29375.00
Santa Clara University,2008,REP,4,4,1500.00
Santa Clara University,2008,OTH,3,5,1150.00
Santa Clara University,2012,DEM,40,65,33085.00
Santa Clara University,2012,REP,1,3,5000.00
Santa Clara University,2012,OTH,3,11,6750.00
Santa Clara University,2016,DEM,59,634,40671.00
Santa Clara University,2016,REP,2,5,5550.00
Santa Clara University,2016,OTH,6,39,6221.00
Santa Clara University,2020,DEM,109,2090,304969.00
Santa Clara University,2020,REP,3,41,8717.00
Santa Clara University,2020,OTH,40,215,55776.00
Santa Clara University,2024,DEM,69,2101,213790.00
Santa Clara University,2024,REP,2,9,1475.00
Santa Clara University,2024,OTH,27,729,72348.00
Santa Clara University,2026,DEM,20,201,59364.00
Santa Clara University,2026,OTH,12,77,12671.00
Seton Hall University,2008,DEM,24,46,25353.00
Seton Hall University,2008,REP,2,3,1000.00
Seton Hall University,2012,DEM,24,48,27500.00
Seton Hall University,2012,REP,5,6,6400.00
Seton Hall University,2012,OTH,1,1,1000.00
Seton Hall University,2016,DEM,29,222,20346.00
Seton Hall University,2016,REP,4,25,2294.00
Seton Hall University,2016,OTH,4,6,1115.00
Seton Hall University,2020,DEM,48,1179,92428.00
Seton Hall University,2020,REP,3,21,2380.00
Seton Hall University,2020,OTH,10,298,6706.00
Seton Hall University,2024,DEM,32,518,56406.00
Seton Hall University,2024,REP,3,15,800.00
Seton Hall University,2024,OTH,9,115,11566.00
Seton Hall University,2026,DEM,7,223,4123.00
Seton Hall University,2026,REP,1,6,150.00
Seton Hall University,2026,OTH,4,64,2706.00
Smith College,2008,DEM,37,102,40341.00
Smith College,2008,OTH,10,14,4400.00
Smith College,2012,DEM,40,90,40224.00
Smith College,2012,REP,3,3,1700.00
Smith College,2012,OTH,4,6,1500.00
Smith College,2016,DEM,43,1070,76527.00
Smith College,2016,REP,1,1,82.00
Smith College,2016,OTH,5,167,6199.00
Smith College,2020,DEM,76,998,130978.00
Smith College,2020,OTH,20,65,13968.00
Smith College,2024,DEM,51,464,45542.00
Smith College,2024,OTH,19,42,7408.00
Smith College,2026,DEM,11,109,3322.00
Smith College,2026,OTH,3,31,1210.00
Southern Methodist University,2008,DEM,22,44,21207.00
Southern Methodist University,2008,REP,5,5,4300.00
Southern Methodist University,2008,OTH,1,1,250.00
Southern Methodist University,2012,DEM,26,50,21580.00
Southern Methodist University,2012,REP,4,4,3750.00
Southern Methodist University,2012,OTH,1,1,250.00
Southern Methodist University,2016,DEM,27,260,19339.00
Southern Methodist University,2016,REP,4,5,6470.00
Southern Methodist University,2016,OTH,3,100,1570.00
Southern Methodist University,2020,DEM,65,1211,93513.00
Southern Methodist University,2020,REP,3,3,1500.00
Southern Methodist University,2020,OTH,19,158,9980.00
Southern Methodist University,2024,DEM,60,551,94929.00
Southern Methodist University,2024,REP,4,7,4525.00
Southern Methodist University,2024,OTH,5,22,1725.00
Southern Methodist University,2026,DEM,14,56,5247.00
Southern Methodist University,2026,REP,1,2,2000.00
Southern Methodist University,2026,OTH,2,9,450.00
Stanford University,2008,DEM,329,774,637003.00
Stanford University,2008,REP,17,23,33150.00
Stanford University,2008,OTH,32,51,39505.00
Stanford University,2012,DEM,322,879,898396.00
Stanford University,2012,REP,20,38,96250.00
Stanford University,2012,OTH,30,116,178990.00
Stanford University,2016,DEM,469,4690,1104628.00
Stanford University,2016,REP,20,72,38536.00
Stanford University,2016,OTH,74,349,286463.00
Stanford University,2020,DEM,723,10163,2937497.00
Stanford University,2020,REP,23,108,39895.00
Stanford University,2020,OTH,218,1578,469067.00
Stanford University,2024,DEM,468,4315,1957606.00
Stanford University,2024,REP,12,205,58401.00
Stanford University,2024,OTH,155,833,536995.00
Stanford University,2026,DEM,126,616,440498.00
Stanford University,2026,REP,5,38,19163.00
Stanford University,2026,OTH,70,372,228085.00
Stevens College of Technology,2016,DEM,1,2,2700.00
Stevens College of Technology,2020,DEM,2,11,650.00
Stevens Institute of Technology,2008,DEM,7,15,10400.00
Stevens Institute of Technology,2012,DEM,5,18,4350.00
Stevens Institute of Technology,2016,DEM,11,36,10625.00
Stevens Institute of Technology,2020,DEM,16,319,26949.00
Stevens Institute of Technology,2020,OTH,3,26,1557.00
Stevens Institute of Technology,2024,DEM,13,854,13280.00
Stevens Institute of Technology,2024,REP,2,4,245.00
Stevens Institute of Technology,2024,OTH,2,142,3043.00
Stevens Institute of Technology,2026,DEM,3,415,3329.00
Stevens Institute of Technology,2026,OTH,1,69,1372.00
Stony Brook University,2008,DEM,42,76,40695.00
Stony Brook University,2008,REP,2,4,1225.00
Stony Brook University,2008,OTH,2,3,1250.00
Stony Brook University,2012,DEM,49,119,57281.00
Stony Brook University,2012,REP,3,6,2850.00
Stony Brook University,2012,OTH,5,8,5150.00
Stony Brook University,2016,DEM,78,518,45853.00
Stony Brook University,2016,REP,3,9,1555.00
Stony Brook University,2016,OTH,14,49,11100.00
Stony Brook University,2020,DEM,171,1974,263948.00
Stony Brook University,2020,REP,3,6,3450.00
Stony Brook University,2020,OTH,33,251,31773.00
Stony Brook University,2024,DEM,91,687,148035.00
Stony Brook University,2024,REP,4,41,7410.00
Stony Brook University,2024,OTH,26,122,17021.00
Stony Brook University,2026,DEM,20,104,35353.00
Stony Brook University,2026,REP,4,40,7523.00
Stony Brook University,2026,OTH,16,111,16146.00
Swarthmore College,2008,DEM,36,86,38701.00
Swarthmore College,2008,OTH,4,5,5450.00
Swarthmore College,2012,DEM,23,39,18200.00
Swarthmore College,2012,OTH,1,1,250.00
Swarthmore College,2016,DEM,39,314,37231.00
Swarthmore College,2016,OTH,8,33,6520.00
Swarthmore College,2020,DEM,47,503,73746.00
Swarthmore College,2020,OTH,12,41,6418.00
Swarthmore College,2024,DEM,36,278,39157.00
Swarthmore College,2024,OTH,4,10,1110.00
Swarthmore College,2026,DEM,5,16,1981.00
Swarthmore College,2026,OTH,3,23,1241.00
Syracuse University,2008,DEM,55,121,62555.00
Syracuse University,2008,REP,6,11,6150.00
Syracuse University,2008,OTH,4,5,1050.00
Syracuse University,2012,DEM,70,138,64028.00
Syracuse University,2012,REP,6,16,18926.00
Syracuse University,2012,OTH,2,2,1500.00
Syracuse University,2016,DEM,117,811,124948.00
Syracuse University,2016,REP,12,27,33150.00
Syracuse University,2016,OTH,11,51,20664.00
Syracuse University,2020,DEM,206,2902,304627.00
Syracuse University,2020,REP,11,110,22848.00
Syracuse University,2020,OTH,37,476,41383.00
Syracuse University,2024,DEM,116,1112,185839.00
Syracuse University,2024,REP,2,2,750.00
Syracuse University,2024,OTH,22,150,12290.00
Syracuse University,2026,DEM,19,240,30077.00
Syracuse University,2026,REP,2,2,2000.00
Syracuse University,2026,OTH,6,58,2912.00
Temple University,2008,DEM,92,194,113094.00
Temple University,2008,REP,14,23,14525.00
Temple University,2008,OTH,7,19,15950.00
Temple University,2012,DEM,92,198,144303.00
Temple University,2012,REP,4,5,5000.00
Temple University,2012,OTH,9,12,5310.00
Temple University,2016,DEM,152,1549,275510.00
Temple University,2016,REP,9,19,8524.00
Temple University,2016,OTH,19,145,24260.00
Temple University,2020,DEM,227,16775,434293.00
Temple University,2020,REP,12,89,22074.00
Temple University,2020,OTH,50,1716,42388.00
Temple University,2024,DEM,131,996,132711.00
Temple University,2024,REP,10,1655,12319.00
Temple University,2024,OTH,32,214,20303.00
Temple University,2026,DEM,35,157,47795.00
Temple University,2026,REP,1,1855,632.00
Temple University,2026,OTH,15,44,7871.00
Texas A&M University,2008,DEM,54,88,32442.00
Texas A&M University,2008,REP,19,30,10775.00
Texas A&M University,2008,OTH,4,9,2750.00
Texas A&M University,2012,DEM,38,93,34630.00
Texas A&M University,2012,REP,25,42,16368.00
Texas A&M University,2016,DEM,126,1163,99576.00
Texas A&M University,2016,REP,39,98,21453.00
Texas A&M University,2016,OTH,15,112,7121.00
Texas A&M University,2020,DEM,200,2179,290871.00
Texas A&M University,2020,REP,58,317,56573.00
Texas A&M University,2020,OTH,48,161,25070.00
Texas A&M University,2024,DEM,158,1541,205120.00
Texas A&M University,2024,REP,35,123,22615.00
Texas A&M University,2024,OTH,33,232,32527.00
Texas A&M University,2026,DEM,37,354,29322.00
Texas A&M University,2026,REP,4,15,4800.00
Texas A&M University,2026,OTH,24,147,15189.00
Texas Christian University,2008,DEM,4,5,3200.00
Texas Christian University,2008,REP,2,3,2901.00
Texas Christian University,2008,OTH,1,1,250.00
Texas Christian University,2012,DEM,5,5,6500.00
Texas Christian University,2012,REP,4,7,8202.00
Texas Christian University,2012,OTH,1,3,2200.00
Texas Christian University,2016,DEM,8,57,4415.00
Texas Christian University,2016,REP,6,23,7760.00
Texas Christian University,2016,OTH,5,15,4690.00
Texas Christian University,2020,DEM,22,293,27556.00
Texas Christian University,2020,REP,2,8,400.00
Texas Christian University,2020,OTH,9,27,4893.00
Texas Christian University,2024,DEM,19,194,8360.00
Texas Christian University,2024,REP,1,3,591.00
Texas Christian University,2024,OTH,5,37,9383.00
Texas Christian University,2026,DEM,6,14,9101.00
Texas Christian University,2026,OTH,4,11,4921.00
Texas Tech University,2008,DEM,25,47,22500.00
Texas Tech University,2008,REP,15,26,10350.00
Texas Tech University,2008,OTH,3,3,890.00
Texas Tech University,2012,DEM,29,62,23917.00
Texas Tech University,2012,REP,12,20,12726.00
Texas Tech University,2012,OTH,4,5,1980.00
Texas Tech University,2016,DEM,50,554,49396.00
Texas Tech University,2016,REP,21,53,20305.00
Texas Tech University,2016,OTH,7,13,2429.00
Texas Tech University,2020,DEM,80,1195,111794.00
Texas Tech University,2020,REP,18,138,11191.00
Texas Tech University,2020,OTH,21,106,8645.00
Texas Tech University,2024,DEM,48,991,35117.00
Texas Tech University,2024,REP,14,86,4189.00
Texas Tech University,2024,OTH,20,159,10896.00
Texas Tech University,2026,DEM,15,198,6496.00
Texas Tech University,2026,REP,3,28,8657.00
Texas Tech University,2026,OTH,13,60,6309.00
Tufts University,2008,DEM,59,151,142432.00
Tufts University,2008,REP,4,5,1450.00
Tufts University,2008,OTH,11,18,24850.00
Tufts University,2012,DEM,71,163,75430.00
Tufts University,2012,REP,8,12,8100.00
Tufts University,2012,OTH,4,10,2800.00
Tufts University,2016,DEM,103,1087,117638.00
Tufts University,2016,REP,3,3,3450.00
Tufts University,2016,OTH,11,114,14201.00
Tufts University,2020,DEM,176,2058,463421.00
Tufts University,2020,REP,2,16,1550.00
Tufts University,2020,OTH,50,267,85672.00
Tufts University,2024,DEM,125,2223,455025.00
Tufts University,2024,REP,5,206,10997.00
Tufts University,2024,OTH,41,340,654984.00
Tufts University,2026,DEM,25,273,50758.00
Tufts University,2026,REP,2,77,3288.00
Tufts University,2026,OTH,23,189,113758.00
Tulane University,2008,DEM,50,84,46130.00
Tulane University,2008,REP,3,4,1050.00
Tulane University,2008,OTH,3,4,7200.00
Tulane University,2012,DEM,41,82,37907.00
Tulane University,2012,REP,3,4,2000.00
Tulane University,2012,OTH,2,2,450.00
Tulane University,2016,DEM,54,628,42624.00
Tulane University,2016,REP,1,4,9400.00
Tulane University,2016,OTH,7,96,7687.00
Tulane University,2020,DEM,81,643,132066.00
Tulane University,2020,REP,14,68,7885.00
Tulane University,2020,OTH,23,66,10213.00
Tulane University,2024,DEM,49,628,68323.00
Tulane University,2024,REP,8,50,4036.00
Tulane University,2024,OTH,17,158,8495.00
Tulane University,2026,DEM,11,86,7790.00
Tulane University,2026,REP,3,25,601.00
Tulane University,2026,OTH,10,104,2070.00
UC Berkeley,2008,DEM,228,453,302297.00
UC Berkeley,2008,REP,1,1,2300.00
UC Berkeley,2008,OTH,14,24,9150.00
UC Berkeley,2012,DEM,187,462,266219.00
UC Berkeley,2012,REP,3,6,15000.00
UC Berkeley,2012,OTH,19,23,8500.00
UC Berkeley,2016,DEM,258,2407,382701.00
UC Berkeley,2016,REP,7,12,11800.00
UC Berkeley,2016,OTH,36,285,31690.00
UC Berkeley,2020,DEM,538,7170,1289410.00
UC Berkeley,2020,REP,10,27,10438.00
UC Berkeley,2020,OTH,178,1383,245644.00
UC Berkeley,2024,DEM,337,3248,1173049.00
UC Berkeley,2024,REP,8,106,34571.00
UC Berkeley,2024,OTH,103,1013,190236.00
UC Berkeley,2026,DEM,84,455,157701.00
UC Berkeley,2026,REP,2,5,6500.00
UC Berkeley,2026,OTH,51,362,253965.00
UC Davis,2008,DEM,84,163,108368.00
UC Davis,2008,REP,1,1,2300.00
UC Davis,2008,OTH,3,3,796.00
UC Davis,2012,DEM,100,213,97996.00
UC Davis,2012,REP,3,3,1000.00
UC Davis,2012,OTH,7,10,4075.00
UC Davis,2016,DEM,194,1924,235741.00
UC Davis,2016,REP,1,15,793.00
UC Davis,2016,OTH,22,83,9910.00
UC Davis,2020,DEM,313,5465,576684.00
UC Davis,2020,REP,7,25,6185.00
UC Davis,2020,OTH,86,803,53110.00
UC Davis,2024,DEM,201,2227,275791.00
UC Davis,2024,REP,6,15,25859.00
UC Davis,2024,OTH,57,1590,74881.00
UC Davis,2026,DEM,56,536,85521.00
UC Davis,2026,OTH,30,395,16360.00
UC Irvine,2008,DEM,53,102,50134.00
UC Irvine,2008,REP,5,11,4250.00
UC Irvine,2008,OTH,11,14,6482.00
UC Irvine,2012,DEM,41,68,25601.00
UC Irvine,2012,REP,5,8,4700.00
UC Irvine,2012,OTH,5,6,1830.00
UC Irvine,2016,DEM,89,562,63281.00
UC Irvine,2016,REP,4,11,2951.00
UC Irvine,2016,OTH,13,107,7387.00
UC Irvine,2020,DEM,221,2337,362733.00
UC Irvine,2020,REP,8,59,10091.00
UC Irvine,2020,OTH,59,425,33469.00
UC Irvine,2024,DEM,157,1113,223522.00
UC Irvine,2024,REP,5,15,3032.00
UC Irvine,2024,OTH,39,192,29604.00
UC Irvine,2026,DEM,38,248,42531.00
UC Irvine,2026,REP,1,6,1495.00
UC Irvine,2026,OTH,23,141,6847.00
UC Merced,2008,DEM,2,4,900.00
UC Merced,2016,DEM,2,26,468.00
UC Merced,2016,REP,1,2,350.00
UC Merced,2020,DEM,11,70,10643.00
UC Merced,2020,REP,2,4,300.00
UC Merced,2020,OTH,1,1,500.00
UC Merced,2024,DEM,9,54,17585.00
UC Merced,2024,OTH,1,3,1500.00
UC Riverside,2008,DEM,13,18,5076.00
UC Riverside,2008,OTH,2,2,500.00
UC Riverside,2012,DEM,19,44,13935.00
UC Riverside,2012,OTH,2,4,950.00
UC Riverside,2016,DEM,31,421,25993.00
UC Riverside,2016,OTH,2,15,607.00
UC Riverside,2020,DEM,44,647,80065.00
UC Riverside,2020,REP,1,5,200.00
UC Riverside,2020,OTH,12,76,7916.00
UC Riverside,2024,DEM,36,264,41116.00
UC Riverside,2024,REP,2,9,759.00
UC Riverside,2024,OTH,8,59,7513.00
UC Riverside,2026,DEM,8,21,2478.00
UC Riverside,2026,REP,1,10,318.00
UC Riverside,2026,OTH,5,16,2800.00
UC San Diego,2008,DEM,59,95,41050.00
UC San Diego,2008,REP,1,1,500.00
UC San Diego,2008,OTH,4,5,3650.00
UC San Diego,2012,DEM,60,104,45364.00
UC San Diego,2012,REP,4,5,2500.00
UC San Diego,2012,OTH,4,6,2700.00
UC San Diego,2016,DEM,129,754,100700.00
UC San Diego,2016,REP,4,5,1140.00
UC San Diego,2016,OTH,14,111,8255.00
UC San Diego,2020,DEM,183,1625,318190.00
UC San Diego,2020,REP,5,12,3955.00
UC San Diego,2020,OTH,41,229,38052.00
UC San Diego,2024,DEM,134,1537,210553.00
UC San Diego,2024,REP,1,11,1250.00
UC San Diego,2024,OTH,44,500,45456.00
UC San Diego,2026,DEM,41,143,64837.00
UC San Diego,2026,OTH,29,161,22818.00
UC San Francisco,2008,DEM,18,25,11450.00
UC San Francisco,2008,OTH,1,1,500.00
UC San Francisco,2012,DEM,15,27,10950.00
UC San Francisco,2016,DEM,55,251,44417.00
UC San Francisco,2016,OTH,4,35,1495.00
UC San Francisco,2020,DEM,63,390,104246.00
UC San Francisco,2020,OTH,20,80,165781.00
UC San Francisco,2024,DEM,64,493,136601.00
UC San Francisco,2024,OTH,15,58,60915.00
UC San Francisco,2026,DEM,13,122,24480.00
UC San Francisco,2026,OTH,11,104,12110.00
UC Santa Barbara,2008,DEM,6,23,5715.00
UC Santa Barbara,2008,REP,5,7,2420.00
UC Santa Barbara,2008,OTH,1,1,250.00
UC Santa Barbara,2012,DEM,11,27,19275.00
UC Santa Barbara,2012,OTH,1,1,360.00
UC Santa Barbara,2016,DEM,33,293,20750.00
UC Santa Barbara,2016,OTH,6,27,2294.00
UC Santa Barbara,2020,DEM,88,712,72495.00
UC Santa Barbara,2020,REP,1,3,300.00
UC Santa Barbara,2020,OTH,20,96,10472.00
UC Santa Barbara,2024,DEM,59,726,50901.00
